Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0 0 0.1 0.1 0.1
0 1 1.75 0.1 0.1
0 2 3.4 0.1 0.1
0 3 5.05 0.1 0.1
0 4 6.7 0.1 0.1
0 5 0.1 1.75 0.1
0 6 1.75 1.75 0.1
0 7 3.4 1.75 0.1
0 8 5.05 1.75 0.1
0 9 6.7 1.75 0.1
0 10 0.1 3.4 0.1
0 11 1.75 3.4 0.1
0 12 3.4 3.4 0.1
0 13 5.05 3.4 0.1
0 14 6.7 3.4 0.1
0 15 0.1 5.05 0.1
0 16 1.75 5.05 0.1
0 17 3.4 5.05 0.1
0 18 5.05 5.05 0.1
0 19 6.7 5.05 0.1
0 20 0.1 6.7 0.1
0 21 1.75 6.7 0.1
0 22 3.4 6.7 0.1
0 23 5.05 6.7 0.1
0 24 6.7 6.7 0.1
0 25 0.1 0.1 1.75
0 26 1.75 0.1 1.75
0 27 3.4 0.1 1.75
0 28 5.05 0.1 1.75
0 29 6.7 0.1 1.75
0 30 0.1 1.75 1.75
0 31 1.75 1.75 1.75
0 32 3.4 1.75 1.75
0 33 5.05 1.75 1.75
0 34 6.7 1.75 1.75
0 35 0.1 3.4 1.75
0 36 1.75 3.4 1.75
0 37 3.4 3.4 1.75
0 38 5.05 3.4 1.75
0 39 6.7 3.4 1.75
0 40 0.1 5.05 1.75
0 41 1.75 5.05 1.75
0 42 3.4 5.05 1.75
0 43 5.05 5.05 1.75
0 44 6.7 5.05 1.75
0 45 0.1 6.7 1.75
0 46 1.75 6.7 1.75
0 47 3.4 6.7 1.75
0 48 5.05 6.7 1.75
0 49 6.7 6.7 1.75
0 50 0.1 0.1 3.4
0 51 1.75 0.1 3.4
0 52 3.4 0.1 3.4
0 53 5.05 0.1 3.4
0 54 6.7 0.1 3.4
0 55 0.1 1.75 3.4
0 56 1.75 1.75 3.4
0 57 3.4 1.75 3.4
0 58 5.05 1.75 3.4
0 59 6.7 1.75 3.4
0 60 0.1 3.4 3.4
0 61 1.75 3.4 3.4
0 62 3.4 3.4 3.4
0 63 5.05 3.4 3.4
0 64 6.7 3.4 3.4
0 65 0.1 5.05 3.4
0 66 1.75 5.05 3.4
0 67 3.4 5.05 3.4
0 68 5.05 5.05 3.4
0 69 6.7 5.05 3.4
0 70 0.1 6.7 3.4
0 71 1.75 6.7 3.4
0 72 3.4 6.7 3.4
0 73 5.05 6.7 3.4
0 74 6.7 6.7 3.4
0 75 0.1 0.1 5.05
0 76 1.75 0.1 5.05
0 77 3.4 0.1 5.05
0 78 5.05 0.1 5.05
0 79 6.7 0.1 5.05
0 80 0.1 1.75 5.05
0 81 1.75 1.75 5.05
0 82 3.4 1.75 5.05
0 83 5.05 1.75 5.05
0 84 6.7 1.75 5.05
0 85 0.1 3.4 5.05
0 86 1.75 3.4 5.05
0 87 3.4 3.4 5.05
0 88 5.05 3.4 5.05
0 89 6.7 3.4 5.05
0 90 0.1 5.05 5.05
0 91 1.75 5.05 5.05
0 92 3.4 5.05 5.05
0 93 5.05 5.05 5.05
0 94 6.7 5.05 5.05
0 95 0.1 6.7 5.05
0 96 1.75 6.7 5.05
0 97 3.4 6.7 5.05
0 98 5.05 6.7 5.05
0 99 6.7 6.7 5.05
0.001 0 0.125383 0.060955 0.115937
0.001 1 1.77411 0.126992 0.0897786
0.001 2 3.46734 0.148618 0.070927
0.001 3 4.99284 0.0649522 0.0865451
0.001 4 6.70587 0.152638 0.0955898
0.001 5 0.11043 1.71364 0.101242
0.001 6 1.75717 1.76127 0.0817013
0.001 7 3.36071 1.80387 0.0677848
0.001 8 5.05156 1.76927 0.144763
0.001 9 6.71172 1.73102 0.0799204
0.001 10 0.162186 3.37529 0.10944
0.001 11 1.74135 3.38419 0.0837709
0.001 12 3.39639 3.39855 0.008749
0.001 13 5.04956 3.40099 0.0753804
0.001 14 6.68138 3.34058 0.133301
0.001 15 0.15269 5.01701 0.0850214
0.001 16 1.7383 5.06318 0.111681
0.001 17 3.43596 5.01967 0.106088
0.001 18 5.01251 5.07787 0.0893462
0.001 19 6.65253 5.05494 0.143195
0.001 20 0.097249 6.64548 0.147603
0.001 21 1.78355 6.68103 0.095999
0.001 22 3.36414 6.67304 0.143139
0.001 23 4.9847 6.70597 0.104611
0.001 24 6.67631 6.69581 0.0659432
0.001 25 0.101023 0.026016 1.8496
0.001 26 1.76512 0.0979209 1.73561
0.001 27 3.40757 0.0221519 1.76404
0.001 28 4.99679 0.118796 1.73029
0.001 29 6.66472 0.139672 1.73394
0.001 30 0.083032 1.74272 1.76227
0.001 31 1.7202 1.76556 1.74331
0.001 32 3.35349 1.75541 1.72731
0.001 33 5.05937 1.77777 1.75467
0.001 34 6.56602 1.76321 1.73332
0.001 35 0.117872 3.3499 1.74327
0.001 36 1.78203 3.41873 1.75595
0.001 37 3.39872 3.41789 1.70678
0.001 38 5.0311 3.38107 1.76029
0.001 39 6.71094 3.39223 1.63974
0.001 40 0.0872242 5.08635 1.77434
0.001 41 1.76676 5.107 1.78269
0.001 42 3.37915 5.00955 1.75738
0.001 43 5.02786 4.99808 1.72674
0.001 44 6.75946 5.01671 1.73392
0.001 45 0.149055 6.63015 1.77587
0.001 46 1.74826 6.70386 1.71587
0.001 47 3.36579 6.73367 1.75077
0.001 48 5.04317 6.79314 1.78503
0.001 49 6.69156 6.72526 1.74994
0.001 50 0.144696 0.117155 3.37388
0.001 51 1.71849 0.0959383 3.37211
0.001 52 3.37507 0.0806706 3.42021
0.001 53 5.0636 0.141536 3.42787
