Time(ns) Atom xvel(nm/ns) yvel(nm/ns) zvel(nm/ns)
0 0 25.3701 -39.0585 15.9248
0 1 24.1064 26.9779 -10.2361
0 2 67.3418 48.6042 -29.0871
0 3 -57.1595 -35.0617 -13.4697
0 4 5.88526 52.6236 -4.42409
0 5 10.4158 -36.3555 1.22767
0 6 7.1651 11.2701 -18.3142
0 7 -39.2936 53.8653 -32.2307
0 8 1.55531 19.266 44.7472
0 9 11.7338 -18.9786 -20.0945
0 10 62.1705 -24.7068 9.42536
0 11 -8.64694 -15.8113 -16.2444
0 12 -3.61306 -1.45184 -91.2667
0 13 -0.444716 0.988296 -24.6351
0 14 -18.6045 -59.4221 33.2832
0 15 52.6748 -32.9886 -14.9929
0 16 -11.6976 13.1763 11.6661
0 17 35.9556 -30.3252 6.07262
0 18 -37.4877 27.8672 -10.6698
0 19 -47.4521 4.93585 43.18
0 20 -2.76431 -54.5064 47.5894
0 21 33.5464 -18.9548 -4.01652
0 22 -35.8612 -26.9439 43.1241
0 23 -65.2952 5.98423 4.59653
0 24 -23.673 -4.17648 -34.0702
0 25 1.00855 -73.9979 99.5952
0 26 15.1194 -2.09388 -14.392
0 27 7.57174 -77.863 14.0349
0 28 -53.2045 18.7805 -19.7059
0 29 -35.2664 39.6573 -16.0559
0 30 -16.9839 -7.28393 12.265
0 31 -29.8052 15.5584 -6.68654
0 32 -46.5137 5.41264 -22.6929
0 33 9.36596 27.7649 4.67055
0 34 -133.959 13.2144 -16.6836
0 35 17.8572 -50.0988 -6.7311
0 36 32.0273 18.7268 5.94481
0 37 -1.2818 17.8901 -43.2183
0 38 -18.8948 -18.926 10.2879
0 39 10.9556 -7.77326 -110.253
0 40 -12.7912 36.3424 24.3359
0 41 16.7569 57.0013 32.6923
0 42 -20.8456 -40.4459 7.37615
0 43 -22.1406 -51.9185 -23.2606
0 44 59.4764 -33.2871 -16.0794
0 45 49.0402 -69.8354 25.8721
0 46 -1.73936 3.87864 -34.1292
0 47 -34.209 33.6805 0.766034
0 48 -6.82703 93.1496 35.0325
0 49 -8.42322 25.2727 -0.0589989
0 50 44.68 17.1409 -26.117
0 51 -31.5099 -4.07647 -27.8851
0 52 -24.9259 -19.3444 20.2124
0 53 13.6038 41.5201 27.8664
0 54 -36.8325 -7.47375 1.6567
0 55 49.2331 18.7263 10.8233
0 56 -3.30468 37.7747 11.9925
0 57 25.5509 12.412 25.4883
